compound	name	formula	charge	n_reactions	offset	abs_offset	mass	eq_uncertainty	heavy_atoms	n_rings	n_arom_atoms	n_conj_bonds	frac_conj	n_stereo	n_rotatable	logp	n_distinct_r1_frags	frag_failures
cpd00623	Sphinganine	C18H40NO2	1	28	-12.1010	12.1010	302.0000	1.3537	21	0	0	0	0.0000	2	16	3.4314	7	0
cpd00315	GDP-glucose	C16H23N5O16P2	-2	8	12.0990	12.0990	603.0000	16172.5655	39	4	9	12	0.2857	11	9	-5.8925	23	0
cpd00511	Androstanedione	C19H28O2	0	7	-12.0580	12.0580	288.0000	56449.2372	21	4	0	0	0.0000	6	0	4.1673	8	0
cpd00018	AMP	C10H12N5O7P	-2	47	-12.0340	12.0340	346.0000	0.2861	23	3	9	11	0.4400	4	4	-3.1270	18	0
cpd15077	1,3,7-Trimethyluric acid	C8H10N4O3	0	6	-11.9460	11.9460	210.0000		15	2	9	13	0.8125	0	0	-1.3721	9	0
cpd00523	Trehalose 6-phosphate	C12H21O14P	-2	15	11.8940	11.8940	421.0000	0.5147	27	2	0	0	0.0000	10	6	-6.5442	11	0
cpd00134	Palmitoyl-CoA	C37H62N7O17P3S	-4	83	-11.8740	11.8740	1002.0000	2.5285	65	3	9	15	0.2239	7	33	1.6180	31	0
cpd01044	Propenal	C3H4O	0	7	11.8500	11.8500	56.0000	0.4440	4	0	0	3	1.0000	0	1	0.3713	4	0
cpd15331	1-tetradecanoyl-sn-glycerol 3-phosphate	C17H33O7P	-2	5	-11.8320	11.8320	381.0000	1.2507	25	0	0	2	0.0833	1	17	2.4369	12	0
cpd02108	Strictosidine aglycone	C21H25N2O4	1	5	-11.8070	11.8070	368.0000	3.0260	27	4	9	15	0.5000	4	4	1.5425	22	0
cpd02193	Strictosidine	C27H35N2O9	1	5	11.8070	11.8070	530.0000	3.1030	38	5	9	15	0.3571	9	7	-0.6333	26	0
