rxn_id,operator,dg,dge
rxn00750,<,49.05,4.36
rxn00751,>,-14.03,5.12
rxn00752,>,-26.49,2.87
rxn00753,>,-3.61,5.69
rxn00754,=,-3.68,2.92
rxn00755,>,-14.03,5.21
rxn00756,>,-16.31,2.96
rxn00758,>,-14.34,2.92
rxn00759,=,9.85,0.95
rxn00760,=,-9.85,0.95
rxn00761,>,-92.42,6.28
rxn00762,=,3.76,6.13
rxn00763,=,5.22,6.13
rxn00764,=,3.76,6.12
rxn00765,=,5.22,6.11
rxn00766,=,7.22,0.92
rxn00767,=,-3.07,0.92
rxn00768,>,-9.17,0.72
rxn00769,>,-10.98,0.72
rxn00770,>,-14.03,4.68
rxn00771,>,-14.03,4.69
rxn00772,>,-14.03,4.7
rxn00773,=,12.03,5.07
rxn00774,=,-9.28,4.73
rxn00775,>,-28.37,5.06
rxn00776,>,-11.95,2.87
rxn00777,=,0.62,1.44
rxn00778,=,0.0,1.87
rxn00779,=,-9.8,6.12
rxn00780,>,-14.03,4.32
rxn00781,=,-9.89,6.14
rxn00782,=,-9.89,6.13
rxn00783,=,0.75,0.69
rxn00784,=,1.68,1.32
rxn00785,=,1.75,1.54
rxn00786,=,4.31,1.37
rxn00787,=,4.31,1.37
rxn00789,<,26.74,5.64
rxn00790,<,20.46,2.11
rxn00791,<,20.0,2.37
rxn00792,>,-11.13,5.39
rxn00793,>,-21.55,7.38
rxn00794,>,-4.72,3.32
rxn00795,=,-0.46,3.41
rxn00796,=,3.42,2.87
rxn00797,=,-0.73,2.84
rxn00798,=,0.67,1.82
rxn00799,=,0.61,0.93
rxn00800,=,7.34,4.37
rxn00801,>,-12.81,1.24
rxn00802,=,7.34,2.51
rxn00803,=,0.0,1.02
rxn00804,=,8.69,6.17
rxn00805,>,-5.29,5.02
rxn00806,=,-0.0,0.81
rxn00807,=,0.0,0.64
rxn00808,>,-14.03,4.81
rxn00809,<,26.7,6.37
rxn00810,=,-1.76,6.4
rxn00811,<,26.7,6.36
rxn00812,=,-2.0,6.41
rxn00813,=,-1.76,6.38
rxn00814,>,-39.19,1.98
rxn00815,>,-26.49,2.26
rxn00816,=,-3.11,3.76
rxn00817,=,-3.11,3.76
rxn00818,=,-3.11,5.33
rxn00819,=,-3.11,2.37
rxn00821,<,29.06,4.73
rxn00822,=,-0.0,4.75
rxn00824,=,-9.53,6.51
rxn00826,=,0.0,4.75
rxn00827,>,-12.96,3.97
rxn00829,>,-7.8,4.42
rxn00830,=,0.66,0.81
rxn00831,=,7.22,3.95
rxn00832,=,-2.58,3.44
rxn00833,=,-0.73,3.98
rxn00834,=,1.58,7.26
rxn00835,>,-14.03,5.79
rxn00836,<,12.54,3.98
rxn00837,<,10.46,7.23
rxn00838,>,-2.59,5.69
rxn00839,=,0.0,6.03
rxn00840,=,-4.92,4.27
rxn00841,>,-14.03,4.74
rxn00842,>,-14.03,4.62
rxn00843,>,-90.04,6.18
rxn00844,>,-90.04,6.17
rxn00845,=,1.11,0.95
rxn00846,>,-13.06,1.12
rxn00847,>,-37.28,5.21
rxn00848,=,-2.55,2.38
rxn00849,=,0.0,0.68
rxn00850,>,-4.26,1.16
rxn00851,>,-6.35,4.44
rxn00852,>,-24.02,1.19
rxn00853,=,2.73,1.45
rxn00854,=,-10.46,4.97
rxn00855,>,-5.29,5.02
rxn00856,=,-1.0,0.84
rxn00857,=,-2.0,1.17
rxn00858,=,-3.9,1.8
rxn00859,=,-4.58,12.32
rxn00860,=,6.74,5.11
rxn00861,>,-5.09,5.3
rxn00862,=,0.0,1.69
rxn00863,=,-9.8,6.33
rxn00864,>,-26.84,4.67
rxn00865,=,-0.46,1.84
rxn00866,>,-3.09,1.67
rxn00867,>,-0.19,1.79
rxn00868,=,16.55,7.92
rxn00869,=,-4.05,7.87
rxn00870,=,-4.05,7.86
rxn00871,=,-5.84,4.99
rxn00872,=,-2.3,8.97
rxn00873,>,-21.55,6.58
rxn00874,=,7.06,7.08
rxn00875,=,1.54,5.04
rxn00876,<,10.77,5.01
rxn00877,=,1.81,5.03
rxn00878,>,-14.03,4.78
rxn00879,=,2.3,6.41
rxn00880,>,-111.68,2.24
rxn00881,=,7.22,2.2
rxn00882,=,7.22,2.2
rxn00883,=,7.22,2.2
rxn00884,=,-4.36,5.28
rxn00885,=,-4.36,5.28
rxn00886,=,-4.36,5.28
rxn00887,=,-4.36,5.28
rxn00888,=,-1.7,4.84
rxn00889,>,-14.34,2.31
rxn00890,=,-3.11,3.57
rxn00891,=,-2.0,2.33
rxn00892,>,-14.03,4.87
rxn00893,=,-7.48,6.42
rxn00894,>,-39.19,2.12
rxn00895,>,-5.29,5.41
rxn00896,=,-1.7,5.03
rxn00897,=,0.0,2.31
rxn00898,>,-6.75,0.8
rxn00899,=,-8.14,7.89
rxn00900,=,4.55,6.15
rxn00901,=,8.69,6.16
rxn00902,<,8.92,5.0
rxn00903,=,-0.0,0.8
rxn00904,=,0.0,0.72
rxn00905,=,6.64,0.8
rxn00906,=,1.92,7.52
rxn00907,=,1.92,7.51
rxn00908,>,2.09,7.51
rxn00909,=,15.06,8.52
rxn00910,=,3.79,7.4
