compound	name	formula	charge	n_reactions	offset_eq_minus_dgp
cpd02096	L-3-Amino-isobutyrate	C4H9NO2	0	5	3.095
cpd00216	Chorismate	C10H8O6	-2	24	3.076
cpd01335	Octanoyl-CoA	C29H46N7O17P3S	-4	9	3.068
cpd15069	7-Methylxanthine	C6H6N4O2	0	6	3.036
cpd00222	GLCN	C6H11O7	-1	6	-3.000
cpd00485	D-Mannose1-phosphate	C6H11O9P	-2	7	2.984
cpd01217	Xanthosine	C10H12N4O6	0	9	2.984
cpd10162	(R)-3-Hydroxy-3-methyl-2-oxopentanoate	C6H9O4	-1	10	2.965
cpd00105	D-Ribose	C5H10O5	0	16	2.953
cpd00009	Phosphate	HO4P	-2	390	-2.943
cpd00005	NADPH	C21H26N7O17P3	-4	951	-2.937
cpd00161	L-Threonine	C4H9NO3	0	18	-2.937
cpd02361	4-Hydroxyphenylacetaldehyde	C8H8O2	0	15	-2.926
cpd00447	Betaine aldehyde	C5H12NO	1	16	2.915
cpd00363	Ethanol	C2H6O	0	10	2.866
cpd08727	dTDP 1-ester with (6R)-5,6-dihydro-4-hydroxy-6-methyl-5-oxo-2H-pyran	C16H20N2O14P2	-2	5	-2.849
cpd00420	Testosterone	C19H28O2	0	8	2.830
cpd00245	Aniline	C6H7N	0	5	-2.812
cpd17399	2-Deoxyinosose	C6H10O5	0	5	-2.807
cpd00085	beta-Alanine	C3H7NO2	0	25	-2.773
cpd05262	galacturonate	C6H9O7	-1	8	-2.768
cpd00885	Phytate	C6H6O24P6	-12	16	2.765
cpd00025	H2O2	H2O2	0	227	-2.765
cpd00133	Nicotinamide	C6H6N2O	0	18	-2.732
cpd00515	5-Dehydro-4-deoxy-D-glucarate	C6H6O7	-2	9	-2.727
cpd00314	D-Mannitol	C6H14O6	0	12	2.725
cpd00374	Tyramine	C8H12NO	1	6	-2.719
cpd00170	Gluconolactone	C6H10O6	0	13	2.714
cpd00011	CO2	CO2	0	500	-2.697
cpd01720	3-Ureidopropanoate	C4H7N2O3	-1	5	-2.681
cpd00280	D-Galacturonate	C6H9O7	-1	6	-2.679
cpd00484	p-Hydroxybenzaldehyde	C7H6O2	0	5	-2.678
cpd00482	2-Phospho-D-glycerate	C3H4O7P	-3	13	-2.676
cpd00290	D-fructose-1,6-bisphosphate	C6H10O12P2	-4	6	-2.658
cpd02143	D-Galactono-1,4-lactone	C6H10O6	0	5	-2.644
cpd00145	Hydroxypyruvate	C3H3O4	-1	19	-2.627
cpd00157	Glycerone	C3H6O3	0	6	2.624
cpd02210	Indoleglycerol phosphate	C11H12NO6P	-2	9	-2.624
cpd04533	Isoamyl alcohol	C5H12O	0	6	-2.614
cpd04534	3-Methylbutanal	C5H10O	0	6	2.614
cpd00281	GABA	C4H9NO2	0	24	-2.607
cpd00120	Butyryl-CoA	C25H38N7O17P3S	-4	19	2.592
cpd19020	(S)(+)-Allantoin	C4H6N4O3	0	5	-2.589
cpd00263	Pyridoxol	C8H11NO3	0	6	2.557
cpd00527	Prostaglandin D2	C20H31O5	-1	6	-2.547
cpd00098	Choline	C5H14NO	1	17	2.546
cpd00463	Cholestenone	C27H44O	0	5	-2.537
cpd00709	beta D-Galactose	C6H12O6	0	17	-2.537
cpd00765	L-Gulonolactone	C6H10O6	0	5	2.527
cpd00022	Acetyl-CoA	C23H34N7O17P3S	-4	205	-2.527
cpd01943	2,5-Diketocamphane	C10H14O2	0	5	-2.520
cpd02180	(+)-exo-5-Hydroxycamphor	C10H16O2	0	5	2.520
cpd00338	5-Aminolevulinate	C5H9NO3	0	9	2.511
cpd00342	N-Acetylornithine	C7H14N2O3	0	9	-2.501
cpd00015	FAD	C27H31N9O15P2	-2	62	2.500
