rxn	name	ec	dg_eq	dg_dgp	diff	absdiff	definition	cofactors	net_proton	d_charge_sq	n_participants	max_carbon
rxn01027	5,6-Dihydrothymine:NAD+ oxidoreductase	1.3.1.1	1.010	17.790	-16.780	16.780	(1) NAD[0] + (1) Dihydrothymine[0] <=> (1) NADH[0] + (1) H+[0] + (1) Thymine[0]	h;nad;nadh	1.000	4.000	5	21
rxn02293	2,5-Dihydroxypyridine:oxygen 5,6-oxidoreductase		-90.990	-107.760	16.770	16.770	(1) H2O[0] + (1) O2[0] + (1) 2,5-Dihydroxypyridine[0] => (1) Formate[0] + (2) H+[0] + (1) Maleamate[0]	h;h2o;o2	2.000	4.000	6	5
rxn00718	5,6-Dihydrouracil:oxygen oxidoreductase	1.3.3.7	-31.110	-14.360	-16.750	16.750	(1) O2[0] + (1) Hydrouracil[0] => (1) H2O2[0] + (1) Uracil[0]	h2o2;o2	0.000	0.000	4	4
rxn40351	chorismate pyruvate-lyase (3-hydroxybenzoate-forming)	4.1.3.45	-26.910	-10.170	-16.740	16.740	(1) Chorismate[0] => (1) Pyruvate[0] + (1) 3-Hydroxybenzoate[0]		0.000	-2.000	3	10
rxn27484	DHU dehydrogenase	1.3.1.2	0.610	17.260	-16.650	16.650	(1) NADP[0] + (1) Hydrouracil[0] <=> (1) NADPH[0] + (1) H+[0] + (1) Uracil[0]	h;nadp;nadph	1.000	8.000	5	21
rxn00720	5,6-Dihydrouracil:NADP+ oxidoreductase	1.3.1.2	0.610	17.260	-16.650	16.650	(1) NADP[0] + (1) Hydrouracil[0] <=> (1) NADPH[0] + (1) H+[0] + (1) Uracil[0]	h;nadp;nadph	1.000	8.000	5	21
rxn14196	propanoyl-CoA:(2S)-methylmalonyl-CoA malonyltransferase (cyclizing)	2.3.1.94	-46.000	-62.630	16.630	16.630	(6) NADPH[0] + (12) H+[0] + (1) Propionyl-CoA[0] + (6) Methylmalonyl-CoA[0] => (1) H2O[0] + (6) NADP[0] + (7) CoA[0] + (6) CO2[0] + (1) 6-Deoxyerythronolide B[0]	co2;coa;h;h2o;nadp;nadph	-12.000	-108.000	9	25
rxn01822	4-hydroxyphenylacetate,NADPH:oxygen oxidoreductase (1-hydroxylating)	1.14.13.18	-105.960	-89.370	-16.590	16.590	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) 4-Hydroxyphenylacetate[0] => (1) H2O[0] + (1) NADP[0] + (1) Homogentisate[0]	h;h2o;nadp;nadph;o2	-1.000	-8.000	7	21
rxn11560	R02339	1.14.16.-	-105.510	-89.030	-16.480	16.480	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) indol[0] => (1) H2O[0] + (1) NADP[0] + (1) Indoxyl[0]	h;h2o;nadp;nadph;o2	-1.000	-8.000	7	21
rxn20162	malate synthase	2.3.3.9;4.1.3.2	-8.100	8.280	-16.380	16.380	(1) H2O[0] + (1) Acetyl-CoA[0] + (1) Glyoxalate[0] => (1) CoA[0] + (1) H+[0] + (1) L-Malate[0]	coa;h;h2o	1.000	4.000	6	23
