compound	name	formula	charge	n_reactions	offset	abs_offset	mass	eq_uncertainty	heavy_atoms	n_rings	n_arom_atoms	n_conj_bonds	frac_conj	n_stereo	n_rotatable	logp	n_distinct_r1_frags	frag_failures
cpd02500	Protocatechuatealdehyde	C8H8O3	0	7	-24.7780	24.7780	152.0000	1.0494	11	1	6	8	0.7273	0	2	0.8392	7	0
cpd00577	Tretin M	C20H27O2	-1	8	-24.5020	24.5020	299.0000	2.5111	22	1	0	12	0.5455	0	5	4.2679	16	8
cpd00352	delta1-Piperideine-6-L-carboxylate	C6H8NO2	-1	5	24.4530	24.4530	126.0000	1.2512	9	1	0	2	0.2222	1	1	-0.6404	7	0
cpd00483	3-Hydroxyanthranilate	C7H6NO3	-1	6	-23.7380	23.7380	152.0000		11	1	6	11	1.0000	0	1	-0.6621	9	0
cpd00039	L-Lysine	C6H15N2O2	1	27	22.6740	22.6740	147.0000		10	0	0	2	0.2222	1	5	-3.2410	7	0
cpd03711	2-Hydroxychromene-2-carboxylate	C10H7O4	-1	6	-22.6730	22.6730	191.0000	1.5079	14	2	6	11	0.7333	1	1	-0.4693	11	0
cpd02851	AICAR	C9H13N4O8P	-2	6	22.5990	22.5990	337.0000	1.0843	22	2	5	9	0.3913	4	5	-3.9713	20	0
cpd00441	(CH3)3N	C3H10N	1	7	-22.5390	22.5390	60.0000	0.7141	4	0	0	0	0.0000	0	0	-1.2393	2	0
cpd00214	Palmitate	C16H31O2	-1	13	-22.1830	22.1830	255.0000	0.7141	18	0	0	2	0.1176	0	14	4.2176	5	0
cpd02043	(S)-4-Hydroxymandelate	C8H7O4	-1	5	-22.0500	22.0500	167.0000	0.6436	12	1	6	9	0.7500	1	2	-0.8245	9	0
cpd02884	FAICAR	C10H13N4O9P	-2	5	21.9110	21.9110	365.0000	1.1837	24	2	5	11	0.4400	4	7	-3.9852	21	0
cpd00219	Prephenate	C10H8O6	-2	16	21.3610	21.3610	224.0000	2.4334	16	1	0	6	0.3750	2	4	-3.0813	9	0
cpd00689	Porphobilinogen	C10H13N2O4	-1	7	20.6530	20.6530	225.0000	0.9363	16	1	5	9	0.5625	0	6	-3.2685	11	0
cpd00247	Orotate	C5H3N2O4	-1	9	-20.5970	20.5970	155.0000		11	1	0	9	0.8182	0	1	-2.1828	9	0
cpd02465	tetrahydrodipicolinate	C7H7NO4	-2	11	20.5300	20.5300	169.0000	0.9799	12	1	0	6	0.5000	1	2	-2.5203	7	0
cpd00323	L-Pipecolate	C6H11NO2	0	6	20.5270	20.5270	128.0000	2.0923	9	1	0	2	0.2222	1	1	-2.1478	7	0
cpd00763	4-Maleylacetoacetate	C8H6O6	-2	7	19.8820	19.8820	198.0000	0.6856	14	0	0	8	0.6154	0	6	-3.0392	6	0
cpd01695	Myristoyl-CoA	C35H58N7O17P3S	-4	12	-19.7970	19.7970	974.0000	2.3527	63	3	9	15	0.2308	7	31	0.8378	31	0
cpd00780	Fumarylacetoacetate	C8H6O6	-2	9	19.6850	19.6850	198.0000	0.6856	14	0	0	8	0.6154	0	6	-3.0392	6	0
cpd00343	N-Carbamoyl-L-aspartate	C5H6N2O5	-2	8	-19.0940	19.0940	174.0000	1.1105	12	0	0	7	0.6364	1	4	-4.0868	8	0
cpd00616	Pretyrosine	C10H12NO5	-1	11	19.0190	19.0190	226.0000	2.4314	16	1	0	4	0.2500	3	4	-4.0399	10	0
cpd00332	Mevalonic acid	C6H11O4	-1	11	18.8130	18.8130	147.0000	0.3039	10	0	0	2	0.2222	1	4	-1.7402	8	0
cpd01498	Maleylacetate	C6H4O5	-2	8	18.7920	18.7920	156.0000	0.5018	11	0	0	8	0.8000	0	4	-2.9984	6	0
cpd02298	1F-beta-D-Fructosylsucrose	C18H32O16	0	5	18.7900	18.7900	504.0000		34	3	0	0	0.0000	13	9	-7.5698	8	0
cpd00351	Saccharopine	C11H19N2O6	-1	6	18.2650	18.2650	275.0000	0.9314	19	0	0	6	0.3333	2	11	-6.2709	9	0
cpd00634	Chlorogenate	C16H17O9	-1	9	-17.2390	17.2390	353.0000	2.3219	25	2	6	15	0.5769	4	4	-1.9806	16	0
cpd00479	Gentisate	C7H5O4	-1	7	-17.1990	17.1990	153.0000	1.0231	11	1	6	11	1.0000	0	1	-0.5387	7	0
cpd00270	Caffeoyl-CoA	C30H38N7O19P3S	-4	22	-16.8900	16.8900	926.0000	2.2775	60	4	15	27	0.4286	7	21	-2.7387	37	0
cpd01501	2-Methylcitrate	C7H7O7	-3	10	-16.5040	16.5040	203.0000		14	0	0	6	0.4615	2	5	-5.0066	8	0
cpd00504	LL-2,6-Diaminopimelate	C7H14N2O4	0	6	16.4350	16.4350	190.0000	0.7114	13	0	0	4	0.3333	2	6	-5.1225	6	0
cpd00919	Homocitrate	C7H7O7	-3	5	-16.3910	16.3910	203.0000		14	0	0	6	0.4615	1	6	-4.8625	6	0
cpd00516	meso-2,6-Diaminopimelate	C7H14N2O4	0	5	16.2180	16.2180	190.0000	0.7114	13	0	0	4	0.3333	2	6	-5.1225	7	0
cpd00667	11-cis-Retinol	C20H30O	0	5	-16.1310	16.1310	286.0000	2.5338	21	1	0	9	0.4286	0	5	5.5103	15	8
cpd19486	16-Hydroxypalmitate	C16H31O3	-1	5	-16.0570	16.0570	272.0000	1.2517	19	0	0	2	0.1111	0	15	3.1900	6	0
cpd03130	(2E)-Octenoyl-CoA	C29H44N7O17P3S	-4	8	16.0070	16.0070	888.0000		57	3	9	18	0.3051	7	24	-1.7268	33	0
cpd02730	3-Deoxy-D-manno-octulosonate8-phosphate	C8H12O11P	-3	6	-15.9330	15.9330	316.0000	0.4363	20	1	0	2	0.1000	5	5	-5.8582	14	0
cpd04654	Caffeine	C8H10N4O2	0	6	-15.6700	15.6700	194.0000	1.2160	14	2	9	12	0.8000	0	0	-1.0293	9	0
cpd00282	S-Dihydroorotate	C5H5N2O4	-1	12	-14.8440	14.8440	157.0000	1.2088	11	1	0	7	0.6364	1	1	-2.6656	8	0
cpd03120	(S)-Hydroxyoctanoyl-CoA	C29H46N7O18P3S	-4	6	14.8040	14.8040	906.0000		58	3	9	15	0.2500	8	25	-2.5320	31	0
cpd03113	(S)-3-Hydroxyhexadecanoyl-CoA	C37H62N7O18P3S	-4	6	-14.7790	14.7790	1018.0000		66	3	9	15	0.2206	8	33	0.5888	31	0
cpd02503	3-Hydroxyisobutyryl-CoA	C25H38N7O18P3S	-4	5	14.6360	14.6360	850.0000	1.8840	54	3	9	15	0.2679	8	21	-4.2349	32	0
cpd03119	3-Oxodecanoyl-CoA	C31H48N7O18P3S	-4	6	14.4620	14.4620	932.0000	2.1482	60	3	9	15	0.2419	7	27	-1.5436	32	0
cpd00465	Ureidoglycolate	C3H5N2O4	-1	14	-14.2510	14.2510	133.0000	0.8938	9	0	0	5	0.6250	1	2	-3.2770	8	0
cpd00378	Formamide	CH3NO	0	6	-14.1380	14.1380	45.0000	1.7588	3	0	0	2	1.0000	0	0	-0.8985	3	0
cpd00337	Hydrouracil	C4H6N2O2	0	6	14.0860	14.0860	114.0000	0.7919	8	1	0	5	0.6250	0	0	-0.7841	6	0
