family	n	r_gc_eq	rho_gc_eq	mad_gc_eq	n_gc_eq	null_r_gc_eq	excess_gc_eq	p_gc_eq	r_gc_dgp	rho_gc_dgp	mad_gc_dgp	n_gc_dgp	null_r_gc_dgp	excess_gc_dgp	p_gc_dgp	r_eq_dgp	rho_eq_dgp	mad_eq_dgp	n_eq_dgp	null_r_eq_dgp	excess_eq_dgp	p_eq_dgp	median_abs_dg_gc	iqr_dg_gc
group present: thiol	640	0.2902	0.5202	1.9900	640	0.6615	-0.3713	0.0000	0.4900	0.4562	3.9300	640	0.5528	-0.0628	0.8000	0.2619	0.5106	2.7900	640	0.4472	-0.1854	0.2125	5.7500	7.7875
group changes: ether	1332	0.8537	0.5297	3.7600	1332	0.8801	-0.0264	0.2700	0.4775	0.4911	8.7750	1332	0.8408	-0.3633	0.0000	0.5358	0.6203	5.2700	1332	0.7594	-0.2236	0.0025	4.0100	8.7600
cofactor: pi	679	0.3077	0.1011	9.8100	679	0.8244	-0.5167	0.0000	0.4704	0.1423	9.4500	679	0.5368	-0.0663	0.7300	0.3797	0.6658	0.9600	679	0.4718	-0.0920	0.5075	7.2200	14.5300
contains S	1623	0.7889	0.5517	2.6400	1623	0.7717	0.0172	0.7950	0.4431	0.4106	6.3100	1623	0.6971	-0.2540	0.1300	0.4806	0.3918	4.1100	1623	0.6108	-0.1302	0.0875	5.7500	10.6300
EC 2 transferase	2173	0.7495	0.4454	4.6600	2173	0.7410	0.0086	0.9075	0.4400	0.3336	7.1300	2173	0.7165	-0.2765	0.0375	0.3181	0.4942	2.9900	2173	0.5923	-0.2742	0.0000	5.7500	14.0300
participants <= 4	3781	0.7687	0.5009	2.8700	3781	0.8347	-0.0660	0.0125	0.4304	0.4271	4.7800	3781	0.6782	-0.2479	0.0075	0.3954	0.6334	2.8200	3781	0.6363	-0.2409	0.0000	3.7200	8.0900
EC none	648	0.9035	0.7038	4.2900	648	0.8685	0.0350	0.3775	0.4224	0.6197	6.5800	648	0.7019	-0.2795	0.0725	0.5495	0.6676	5.5150	648	0.6365	-0.0871	0.5100	10.3800	23.3325
cofactor: amp	208	0.0545	0.4280	18.9200	208	0.5978	-0.5433	0.0000	0.4201	0.3548	15.6000	208	0.6926	-0.2725	0.0450	0.3145	0.6679	2.1650	208	0.5774	-0.2628	0.0525	21.5500	9.2600
EC 4 lyase	969	0.7353	0.7485	2.5600	969	0.8070	-0.0718	0.1700	0.4012	0.5158	4.7200	969	0.7861	-0.3850	0.0250	0.3888	0.6517	3.0800	969	0.6746	-0.2858	0.0000	4.7500	10.8800
group changes: amide	744	0.9078	0.4617	4.3900	744	0.8185	0.0894	0.1125	0.3656	0.4117	4.4900	744	0.7946	-0.4290	0.0250	0.5194	0.5665	3.9200	744	0.6867	-0.1674	0.0775	5.2900	11.6300
status not OK (unbalanced)	630	0.8977	0.6920	11.9000	630	0.8475	0.0502	0.2400	0.3249	0.6412	12.9950	630	0.6484	-0.3236	0.0200	0.3459	0.5919	7.8050	630	0.5815	-0.2356	0.0025	14.0800	37.7575
KEGG: multiple ids (averaged)	48	0.6698	0.6443	1.6850	48	0.7175	-0.0477	0.8925	0.2998	-0.0079	5.6050	48	0.7138	-0.4140	0.0900	0.6973	0.1536	3.6100	48	0.6019	0.0954	0.7650	2.0100	4.1750
phosphoryl transfer (ATP/ADP/AMP)	809	0.0996	0.4439	10.5300	809	0.6908	-0.5912	0.0000	0.2911	0.4295	10.1000	809	0.7589	-0.4678	0.0075	0.4573	0.6471	1.5100	809	0.5894	-0.1321	0.1025	14.0300	12.3600
cofactor: thf	48	0.4109	0.2621	3.5800	48	0.7228	-0.3119	0.1125	0.2830	0.4602	3.7500	48	0.7305	-0.4476	0.0925	0.4702	0.5503	1.7800	48	0.6273	-0.1571	0.5475	2.0900	5.7500
EC 3 hydrolase	1299	0.2264	0.3770	5.1800	1299	0.8007	-0.5743	0.0000	0.2609	0.4681	5.9000	1299	0.5650	-0.3041	0.0150	0.1178	0.4545	2.2900	1299	0.5257	-0.4079	0.0000	5.7500	9.3850
