rxn	name	ec_class	dg_gc	dg_eq	dg_dgp	cluster
rxn00292	UDP-N-acetyl-D-glucosamine 2-epimerase	3;5	-4.810	-7.010	-5.430	-1
rxn00293	UTP:N-acetyl-alpha-D-glucosamine-1-phosphate uridylyltransferase	2	1.070	-0.810	-0.020	-1
rxn00295	UDP-N-acetyl-D-glucosamine 4-epimerase	5	0.000	-0.240	0.220	16
rxn00297	UDP-N-acetyl-D-glucosamine 2-epimerase	5	0.000	-0.240	-0.570	-1
rxn00298	UDP-N-acetyl-D-glucosamine:NAD+ 6-oxidoreductase	1	-4.580	-5.070	1.820	9
rxn00299	GTP 7,8-8,9-dihydrolase	3	-16.890	-18.540	-40.130	-1
rxn00300	GTP 7,8-8,9-dihydrolase (diphosphate-forming)	3	-37.590	-16.790	-4.370	-1
rxn00301	GTP diphosphohydrolase (diphosphate-forming)	3	-27.300	-7.620	-8.370	30
rxn00303	ATP:GTP 3'-diphosphotransferase	2	-23.560	-3.170	-4.980	-1
rxn00304	GTP:pyruvate 2-O-phosphotransferase	2	-4.920	7.130	6.560	0
rxn00305	GTP:oxaloacetate carboxy-lyase (adding GTP;phosphoenolpyruvate-forming)	4	-9.820	3.170	2.530	0
rxn00306	Succinate:CoA ligase (GDP-forming)	6	-1.060	0.110	0.090	-1
rxn00307	GTP diphosphate-lyase (cyclizing; 3',5'-cyclic-GMP-forming)	4	-8.480	1.220	1.630	0
rxn00308	L-lysine:NAD+ oxidoreductase (deaminating, cyclizing)	1	-6.050	-4.580	0.340	-1
rxn00309	L-Lysine:NAD+ 6-oxidoreductase (deaminating)	1	7.690	8.650	10.970	18
rxn00310	L-lysine:oxygen 2-oxidoreductase (deaminating)	1	-23.020	-24.990	-22.290	34
rxn00311	L-lysine,NADPH:oxygen oxidoreductase (6-hydroxylating)	1	-90.630	-55.930	-56.200	-1
rxn00312	L-Lysine:oxygen 2-oxidoreductase (decarboxylating)	1	-109.260	-111.770	-108.970	24
rxn00313	meso-2,6-diaminoheptanedioate carboxy-lyase (L-lysine-forming)	4	-3.090	-4.390	-6.270	33
rxn00314	N2-(D-1-carboxylethyl)-L-lysine:NADP+ oxidoreductase (L-lysine-forming)	1	9.210	9.660	11.700	18
rxn00316	acetyl-CoA:L-lysine N6-acetyltransferase	2	-5.290	-5.700	-1.010	-1
rxn00318	N6-acetyl-L-lysine amidohydrolase	3	-2.000	-1.600	-6.240	-1
rxn00319	rxn00319	4	5.710	-9.820	-5.960	-1
rxn00320	lysine racemase	5	0.000	0.000	-0.190	16
rxn00321	L-Lysine 2,3-aminomutase	5	0.000	-1.100	-1.100	-1
rxn00322	L-lysine carboxy-lyase (cadaverine-forming)	4	-3.090	-5.960	-6.750	33
rxn00323	L-Lysine-1,6-lactam lactamhydrolase	3	-0.440	4.610	0.330	-1
rxn00324	glycolate:NADP+ oxidoreductase	1	7.680	10.540	10.160	18
rxn00325	Glyoxylate:oxygen oxidoreductase	1	-38.770	-37.750	-37.960	32
rxn00326	Glyoxylate:NADP+ oxidoreductase (CoA-oxalylating)	1	-4.050	-2.550	-1.770	31
