n	rxns	sd_gc	range_gc	sd_eq	range_eq	sd_dgp	range_dgp	empty_dsig
9	rxn02390;rxn02521;rxn02522;rxn02762;rxn03483;rxn19338;rxn19339;rxn19340	0.000	0.000	0.061	0.150	1.881	5.640	0
4	rxn02382;rxn15399;rxn15400;rxn17487	0.000	0.000	0.178	0.410	0.000	0.000	0
2	rxn02374;rxn30382	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn02373;rxn02465;rxn28002	0.000	0.000	0.349	0.740	0.259	0.550	0
4	rxn02356;rxn02358;rxn30397;rxn30398	0.000	0.000	0.000	0.000	0.290	0.580	0
2	rxn02424;rxn39396	0.000	0.000	0.030	0.060	0.000	0.000	0
3	rxn02536;rxn04066;rxn17226	0.000	0.000	0.000	0.000	1.193	2.530	0
6	rxn02535;rxn04067;rxn24198;rxn24199;rxn39762;rxn40246	0.000	0.000	0.053	0.150	11.412	27.820	0
5	rxn02527;rxn02528;rxn19673;rxn38971;rxn38972	0.000	0.000	2.822	5.760	2.506	5.760	0
2	rxn02523;rxn03839	0.000	0.000	0.590	1.180	3.315	6.630	0
3	rxn02519;rxn15407;rxn15408	0.000	0.000	1.062	2.590	0.000	0.000	0
2	rxn02510;rxn16900	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn02508;rxn28082	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn02507;rxn33706	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn02506;rxn03282	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn02473;rxn19924;rxn30708	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn02504;rxn30368	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn02503;rxn30396	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn02497;rxn11569	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn02488;rxn39506	0.000	0.000	0.035	0.070	1.375	2.750	0
4	rxn02482;rxn07472;rxn07498;rxn07515	0.000	0.000	0.192	0.530	2.782	7.220	0
7	rxn02481;rxn04722;rxn04732;rxn04743;rxn07527;rxn33700;rxn33701	0.000	0.000	0.197	0.400	16.109	35.780	0
2	rxn02480;rxn37980	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn02476;rxn33166	0.000	0.000	0.000	0.000	0.000	0.000	0
6	rxn02475;rxn10506;rxn16216;rxn30012;rxn32932;rxn35473	0.000	0.000	0.005	0.010	0.000	0.000	0
2	rxn02474;rxn33143	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn02505;rxn03106;rxn33557	0.000	0.000	0.000	0.000	0.877	1.860	0
2	rxn02251;rxn25701	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn02238;rxn02598;rxn03413	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn02234;rxn04134;rxn19263;rxn39608	0.000	0.000	0.000	0.000	0.705	1.410	0
5	rxn02213;rxn04446;rxn17751;rxn17752;rxn30580	0.000	0.000	4.076	10.190	5.132	12.830	0
2	rxn02212;rxn32559	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn02207;rxn15389;rxn15390	0.000	0.000	0.193	0.410	0.000	0.000	0
3	rxn02201;rxn20800;rxn30380	0.000	0.000	0.000	0.000	2.013	4.270	0
2	rxn02200;rxn30369	0.000	0.000	0.000	0.000	0.000	0.000	0
5	rxn02189;rxn02758;rxn02814;rxn04424;rxn04425	0.000	0.000	0.005	0.010	4.018	10.780	0
3	rxn02355;rxn02357;rxn04944	0.000	0.000	0.005	0.010	0.328	0.770	0
5	rxn02186;rxn30402;rxn32271;rxn33637;rxn35351	0.000	0.000	0.000	0.000	0.108	0.220	0
2	rxn02185;rxn15491	0.000	0.000	0.000	0.000	2.710	5.420	0
2	rxn02181;rxn32064	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn02177;rxn40341	0.000	0.000	0.115	0.230	1.465	2.930	0
2	rxn02169;rxn19825	0.000	0.000	0.000	0.000	0.000	0.000	0
5	rxn02167;rxn02168;rxn27538;rxn30763;rxn32636	0.000	0.000	0.044	0.110	0.321	0.820	0
5	rxn02163;rxn02164;rxn10432;rxn11732;rxn15726	0.000	0.000	1.257	3.170	0.648	1.390	0
2	rxn02159;rxn19896	0.000	0.000	0.000	0.000	0.000	0.000	0
6	rxn02156;rxn07590;rxn23873;rxn23874;rxn23875;rxn23876	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn02149;rxn40440	0.000	0.000	2.095	4.190	1.030	2.060	0
4	rxn02187;rxn15511;rxn32411;rxn32500	0.000	0.000	0.000	0.000	2.347	5.420	0
2	rxn02354;rxn32554	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn02348;rxn04471	0.000	0.000	0.000	0.000	1.850	3.700	0
2	rxn02343;rxn16372	0.000	0.000	0.250	0.500	0.315	0.630	0
6	rxn02340;rxn02575;rxn38541;rxn39775;rxn39908;rxn40359	0.000	0.000	19.173	38.620	1.539	4.210	0
2	rxn02336;rxn19950	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn02326;rxn24207	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn02324;rxn04680;rxn30329	0.000	0.000	0.000	0.000	2.791	5.920	0
2	rxn02313;rxn37014	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn02312;rxn27779	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn02259;rxn16860	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn02302;rxn28338;rxn33298	0.000	0.000	0.000	0.000	0.000	0.000	0
