rxn_id	Beber_2022	ln_RI
rxn01114	=	-5.555
rxn01115	=	-1.098
rxn01116	=	-1.368
rxn01117	=	0.985
rxn01118	>	-28.503
rxn01119	=	0.442
rxn01121	>	-13.199
rxn01122	>	-13.949
rxn01123	=	-4.569
rxn01124	=	1.850
rxn01125	=	2.254
rxn01126	>	-11.071
rxn01127	=	0.662
rxn01128	=	-3.651
rxn01129	=	-4.801
rxn01130	=	-0.743
rxn01131	<	34.590
rxn01132	=	2.369
rxn01133	=	-0.714
rxn01134	=	-1.120
rxn01135	=	-3.736
rxn01136	=	-2.630
rxn01137	>	-10.064
rxn01138	=	1.642
rxn01139	>	-9.437
rxn01140	>	-12.504
rxn01141	>	-10.244
rxn01142	>	-18.084
rxn01143	=	-4.157
rxn01144	=	-4.225
rxn01145	>	-7.038
rxn01146	=	1.269
rxn01147	=	-1.116
rxn01148	=	-4.976
rxn01149	=	-6.146
rxn01150	=	-6.146
rxn01151	=	1.375
rxn01152	=	2.144
rxn01153	>	-9.991
rxn01154	=	-0.140
rxn01156	=	1.449
rxn01157	=	-3.378
rxn01158	=	4.131
rxn01159	=	-4.472
rxn01160	=	-0.941
rxn01161	=	-1.632
rxn01162	>	-18.145
rxn01163	<	6.908
rxn01164	=	4.605
rxn01165	=	4.606
rxn01166	=	4.606
rxn01167	=	4.605
rxn01168	=	-1.725
rxn01169	=	-3.071
rxn01170	<	39.077
rxn01171	=	0.666
rxn01172	>	-7.295
rxn01173	>	-7.294
rxn01174	=	4.119
rxn01175	=	2.763
rxn01176	=	-3.703
rxn01177	>	-53.966
rxn01179	>	-16.088
rxn01180	>	-15.315
rxn01181	=	-0.386
rxn01182	=	-1.867
rxn01183	=	-6.088
rxn01184	>	-9.183
rxn01185	>	-17.574
rxn01186	>	-7.363
rxn01187	>	-11.918
rxn01188	>	-45.414
rxn01189	>	-68.228
rxn01190	>	-60.196
rxn01191	>	-60.197
rxn01192	>	-81.924
rxn01193	>	-64.880
rxn01194	>	-13.613
rxn01195	=	-6.274
rxn01196	=	-6.248
rxn01197	>	-23.211
rxn01199	=	-5.003
rxn01200	=	0.773
rxn01201	=	-0.693
rxn01202	=	-2.440
rxn01203	=	2.440
rxn01204	=	1.314
rxn01205	>	-15.904
rxn01206	>	-28.628
